,weekday,month,bus_route_id,violation_type,violations
331,Friday,2023-06,BX12+,MOBILE BUS LANE,1047
332,Friday,2023-06,BX19,MOBILE BUS LANE,136
333,Friday,2023-06,BX35,MOBILE BUS LANE,166
334,Friday,2023-06,BX36,MOBILE BUS LANE,195
335,Friday,2023-06,BX41+,MOBILE BUS LANE,829
336,Friday,2023-06,M14+,MOBILE BUS LANE,162
337,Friday,2023-06,M15+,MOBILE BUS LANE,724
338,Friday,2023-06,M23+,MOBILE BUS LANE,6
339,Friday,2023-06,M34+,MOBILE BUS LANE,20
340,Friday,2023-06,M86+,MOBILE BUS LANE,1
341,Friday,2023-06,Q43,MOBILE BUS LANE,89
342,Friday,2023-06,Q44+,MOBILE BUS LANE,250
343,Friday,2023-06,S79+,MOBILE BUS LANE,26
344,Friday,2023-07,B25,MOBILE BUS LANE,39
345,Friday,2023-07,B42,MOBILE BUS LANE,41
346,Friday,2023-07,B44+,MOBILE BUS LANE,78
347,Friday,2023-07,B46+,MOBILE BUS LANE,187
348,Friday,2023-07,BX12+,MOBILE BUS LANE,975
349,Friday,2023-07,BX19,MOBILE BUS LANE,100
350,Friday,2023-07,BX35,MOBILE BUS LANE,106
351,Friday,2023-07,BX36,MOBILE BUS LANE,235
352,Friday,2023-07,BX41+,MOBILE BUS LANE,833
353,Friday,2023-07,M14+,MOBILE BUS LANE,75
354,Friday,2023-07,M15+,MOBILE BUS LANE,766
355,Friday,2023-07,M23+,MOBILE BUS LANE,6
356,Friday,2023-07,M34+,MOBILE BUS LANE,20
357,Friday,2023-07,M86+,MOBILE BUS LANE,7
358,Friday,2023-07,Q43,MOBILE BUS LANE,76
359,Friday,2023-07,Q44+,MOBILE BUS LANE,204
360,Friday,2023-07,Q58,MOBILE BUS LANE,58
361,Friday,2023-07,S79+,MOBILE BUS LANE,15
362,Friday,2023-08,B25,MOBILE BUS LANE,85
363,Friday,2023-08,B42,MOBILE BUS LANE,30
364,Friday,2023-08,B44+,MOBILE BUS LANE,51
365,Friday,2023-08,B46+,MOBILE BUS LANE,256
366,Friday,2023-08,B62,MOBILE BUS LANE,7
367,Friday,2023-08,BX12+,MOBILE BUS LANE,805
368,Friday,2023-08,BX19,MOBILE BUS LANE,85
369,Friday,2023-08,BX35,MOBILE BUS LANE,77
370,Friday,2023-08,BX36,MOBILE BUS LANE,142
371,Friday,2023-08,BX41+,MOBILE BUS LANE,866
372,Friday,2023-08,M14+,MOBILE BUS LANE,124
373,Friday,2023-08,M15+,MOBILE BUS LANE,692
374,Friday,2023-08,M23+,MOBILE BUS LANE,20
