,bus_route_id,month,weekday,violation_type,violations
342,B25,2025-06,Wednesday,MOBILE BUS LANE,222
343,B25,2025-06,Wednesday,MOBILE BUS STOP,158
344,B25,2025-06,Wednesday,MOBILE DOUBLE PARKED,55
345,B25,2025-07,Friday,MOBILE BUS LANE,178
346,B25,2025-07,Friday,MOBILE BUS STOP,117
347,B25,2025-07,Friday,MOBILE DOUBLE PARKED,43
348,B25,2025-07,Monday,MOBILE BUS LANE,146
349,B25,2025-07,Monday,MOBILE BUS STOP,118
350,B25,2025-07,Monday,MOBILE DOUBLE PARKED,49
351,B25,2025-07,Saturday,MOBILE BUS LANE,13
352,B25,2025-07,Saturday,MOBILE BUS STOP,271
353,B25,2025-07,Saturday,MOBILE DOUBLE PARKED,65
354,B25,2025-07,Sunday,MOBILE BUS LANE,10
355,B25,2025-07,Sunday,MOBILE BUS STOP,174
356,B25,2025-07,Sunday,MOBILE DOUBLE PARKED,35
357,B25,2025-07,Thursday,MOBILE BUS LANE,225
358,B25,2025-07,Thursday,MOBILE BUS STOP,170
359,B25,2025-07,Thursday,MOBILE DOUBLE PARKED,69
360,B25,2025-07,Tuesday,MOBILE BUS LANE,178
361,B25,2025-07,Tuesday,MOBILE BUS STOP,128
362,B25,2025-07,Tuesday,MOBILE DOUBLE PARKED,43
363,B25,2025-07,Wednesday,MOBILE BUS LANE,223
364,B25,2025-07,Wednesday,MOBILE BUS STOP,154
365,B25,2025-07,Wednesday,MOBILE DOUBLE PARKED,38
366,B25,2025-08,Friday,MOBILE BUS LANE,96
367,B25,2025-08,Friday,MOBILE BUS STOP,18
368,B25,2025-08,Friday,MOBILE DOUBLE PARKED,18
369,B25,2025-08,Monday,MOBILE BUS LANE,110
370,B25,2025-08,Monday,MOBILE BUS STOP,25
371,B25,2025-08,Monday,MOBILE DOUBLE PARKED,6
372,B25,2025-08,Saturday,MOBILE BUS LANE,2
373,B25,2025-08,Saturday,MOBILE BUS STOP,41
374,B25,2025-08,Saturday,MOBILE DOUBLE PARKED,28
375,B25,2025-08,Sunday,MOBILE BUS LANE,7
376,B25,2025-08,Sunday,MOBILE BUS STOP,14
377,B25,2025-08,Sunday,MOBILE DOUBLE PARKED,7
378,B25,2025-08,Thursday,MOBILE BUS LANE,49
379,B25,2025-08,Thursday,MOBILE BUS STOP,20
380,B25,2025-08,Thursday,MOBILE DOUBLE PARKED,2
381,B25,2025-08,Tuesday,MOBILE BUS LANE,86
382,B25,2025-08,Tuesday,MOBILE BUS STOP,24
383,B25,2025-08,Tuesday,MOBILE DOUBLE PARKED,5
384,B25,2025-08,Wednesday,MOBILE BUS LANE,77
385,B25,2025-08,Wednesday,MOBILE BUS STOP,25
386,B25,2025-08,Wednesday,MOBILE DOUBLE PARKED,8
387,B26,2023-10,Friday,MOBILE BUS LANE,2
388,B26,2023-10,Monday,MOBILE BUS LANE,2
