,month,bus_route_id,violation_type,violations
249,2022-12,BX12+,MOBILE BUS LANE,3676
250,2022-12,BX19,MOBILE BUS LANE,1147
251,2022-12,BX41+,MOBILE BUS LANE,4224
252,2022-12,M14+,MOBILE BUS LANE,878
253,2022-12,M15+,MOBILE BUS LANE,5138
254,2022-12,M23+,MOBILE BUS LANE,95
255,2022-12,M34+,MOBILE BUS LANE,77
256,2022-12,M86+,MOBILE BUS LANE,8
257,2022-12,Q43,MOBILE BUS LANE,1118
258,2022-12,Q44+,MOBILE BUS LANE,2837
259,2022-12,S79+,MOBILE BUS LANE,133
260,2023-01,B25,MOBILE BUS LANE,797
261,2023-01,B42,MOBILE BUS LANE,228
262,2023-01,B44+,MOBILE BUS LANE,767
263,2023-01,B46+,MOBILE BUS LANE,1349
264,2023-01,B62,MOBILE BUS LANE,92
265,2023-01,BX12+,MOBILE BUS LANE,5987
266,2023-01,BX19,MOBILE BUS LANE,2446
267,2023-01,BX41+,MOBILE BUS LANE,8349
268,2023-01,M14+,MOBILE BUS LANE,986
269,2023-01,M15+,MOBILE BUS LANE,5936
270,2023-01,M23+,MOBILE BUS LANE,117
271,2023-01,M34+,MOBILE BUS LANE,87
272,2023-01,M86+,MOBILE BUS LANE,6
273,2023-01,Q43,MOBILE BUS LANE,766
274,2023-01,Q44+,MOBILE BUS LANE,2404
275,2023-01,S79+,MOBILE BUS LANE,115
276,2023-02,B25,MOBILE BUS LANE,422
277,2023-02,B42,MOBILE BUS LANE,132
278,2023-02,B44+,MOBILE BUS LANE,604
279,2023-02,B46+,MOBILE BUS LANE,1261
280,2023-02,B62,MOBILE BUS LANE,48
281,2023-02,BX12+,MOBILE BUS LANE,5672
282,2023-02,BX19,MOBILE BUS LANE,1740
283,2023-02,BX41+,MOBILE BUS LANE,7010
284,2023-02,M14+,MOBILE BUS LANE,872
285,2023-02,M15+,MOBILE BUS LANE,4361
286,2023-02,M23+,MOBILE BUS LANE,178
287,2023-02,M34+,MOBILE BUS LANE,72
288,2023-02,M86+,MOBILE BUS LANE,6
289,2023-02,Q43,MOBILE BUS LANE,540
290,2023-02,Q44+,MOBILE BUS LANE,2381
291,2023-02,S79+,MOBILE BUS LANE,108
292,2023-03,B25,MOBILE BUS LANE,368
293,2023-03,B42,MOBILE BUS LANE,166
294,2023-03,B44+,MOBILE BUS LANE,796
295,2023-03,B46+,MOBILE BUS LANE,1503
296,2023-03,B62,MOBILE BUS LANE,72
297,2023-03,BX12+,MOBILE BUS LANE,6693
298,2023-03,BX19,MOBILE BUS LANE,1532
