,stop_name,violations,avg_lat,avg_lon
284,BAINBRIDGE AV/E 210 ST,3714,40.8778234822294,-73.87164569332256
285,E 79 ST/1 AV,3697,40.77231374555406,-73.95316814164278
286,HILLSIDE AV/168 ST,3693,40.71027545464392,-73.7935555634985
287,W FORDHAM RD/ SEDGWICK AV,3691,40.86276176483337,-73.90673655973991
288,3 AV/E 97 ST,3678,40.7848127509516,-73.94977192060902
289,WHITE PLAINS RD/WATSON AV,3657,40.82928892671589,-73.86265710910583
290,10 AV/W 207 ST,3654,40.86417302380952,-73.91917494854954
291,JEROME AV/MORRIS AV,3599,40.872000249791604,-73.8898698118922
292,E 125 ST/MADISON AV,3591,40.80189267947647,-73.94160884878863
293,SOUTH FERRY TERM/SOUTH FERRY TERM,3580,40.70339282318435,-74.01042451201117
294,BROADWAY/W 178 ST,3577,40.84852564579256,-73.93731719849035
295,CHURCH AV/E 55 ST,3576,40.65222779670022,-73.9281486482103
296,AMSTERDAM AV/W 181 ST,3566,40.84005182389232,-73.93422307010657
297,HUNTS POINT AV/SPOFFORD AV,3559,40.81648984405732,-73.88765635094127
298,EAST FORDHAM RD/3 AV,3558,40.86005040331647,-73.88815390584598
299,PAUL AV/BEDFORD PARK BLVD,3535,40.87416375106082,-73.88629239632249
300,AMSTERDAM AV/W 129 ST,3518,40.81328005031268,-73.95455607106311
301,AMSTERDAM AV/W 138 ST,3512,40.81324905751708,-73.95290701338268
302,WEBSTER AV/CLAREMONT PKY,3504,40.836643921803656,-73.9071752089041
303,3 AV/E 39 ST,3495,40.76993449928469,-73.95851424406295
304,E 149 ST/GRAND CONCOURSE,3485,40.81821539397417,-73.92474244849355
305,E 161 ST/RIVER AV,3461,40.83055042473274,-73.93882550881249
306,YORK AV/E 87 ST,3460,40.77641523410405,-73.94801911589596
307,1 AV/E 29 ST,3455,40.74224344312591,-73.9746189739508
308,FLATBUSH AV/KINGS HWY,3454,40.627850391140704,-73.94084671105963
309,W 86 ST/AMSTERDAM AV,3452,40.787194071068946,-73.97406849179316
310,E 149 ST/TRINITY AV,3443,40.81420568225385,-73.91180561806564
311,EAST TREMONT AV/BRYANT AV,3420,40.84090703216374,-73.88424380789473
312,BAINBRIDGE AV/E 206 ST,3416,40.874487427985954,-73.87474743911007
313,NOSTRAND AV/AVENUE X,3407,40.597270234517175,-73.94071361990021
314,ARCHER AV/165 ST,3397,40.70701864262585,-73.7954197786282
315,HEGEMAN AV/CHESTER ST,3390,40.65580195280236,-73.91094055899705
316,NOSTRAND AV/FULTON ST,3390,40.672985684407074,-73.95010459366372
317,E 149 ST/JACKSON AV,3378,40.81314772113677,-73.90807575281232
318,AMSTERDAM AV/W 149 ST,3374,40.82737535595732,-73.94533242857143
319,HOYT AV SOUTH/31 ST,3371,40.76962684040344,-73.91341086858499
320,FLATLANDS AV/E 80 ST,3348,40.63742123267623,-73.91029208482676
321,WEBSTER AV/E GUN HILL RD,3333,40.87277510561056,-73.87522441554155
322,EAST FORDHAM RD/WEBSTER AV,3324,40.862092352286396,-73.8940112740674
323,AMSTERDAM AV/W 156 ST,3315,40.819982504675714,-73.94442568657617
324,SUTPHIN BL/JAMAICA AV,3314,40.703474952926975,-73.80852376976463
325,CHURCH AV/E 98 ST,3303,40.655588054495915,-73.91579539327884
326,AMSTERDAM AV/W 140 ST,3302,40.815370966989704,-73.95140188824955
327,ROGERS AV/CHURCH AV,3299,40.65303488441245,-73.95248379289987
328,AMSTERDAM AV/W 143 ST,3290,40.81837149969604,-73.95024574589665
329,DREISER LOOP/DEFOE PL,3267,40.876150207835934,-73.8314088432813
330,AMSTERDAM AV/W 173 ST,3267,40.84285944964799,-73.93408932292623
331,MAIN ST/JEWEL AV,3264,40.73071941942402,-73.82376375061274
332,E 167 ST/RIVER AV,3262,40.83477406836297,-73.91942406774984
333,WATER ST/WALL ST,3261,40.70394290421956,-74.0094647064336
334,BROADWAY/W 181 ST,3255,40.849896655299546,-73.93615128233486
335,CHURCH AV/E 52 ST,3249,40.65217064081256,-73.92807088919668
336,FLATBUSH AV/E 35 ST,3241,40.628464680962665,-73.94283373711816
337,JAY ST/WILLOUGHBY ST,3235,40.69197471004637,-73.98703947047913
338,PELHAM PKWY/STILLWELL AV,3212,40.85503050653798,-73.83012746326277
339,CHURCH AV/TROY AV,3206,40.65153663880225,-73.93479193480974
340,3 AV/E 60 ST,3176,40.76596963759446,-73.96333230384131
341,E FORDHAM RD/WEBSTER AV,3174,40.86199565563957,-73.89334604064273
342,WHITE PLAINS RD/GLEASON AV,3173,40.83006661708163,-73.86205944090766
343,KINGS PLAZA/AVENUE U,3157,40.6143457557808,-73.92570300791891
344,E 79 ST/LEXINGTON AV,3149,40.77528378781412,-73.96003982078967
345,NOSTRAND AV/CLARKSON AV,3144,40.652395256166244,-73.9496826977396
346,E 23 ST/2 AV,3143,40.73781570883233,-73.9806121801262
347,1 AV/E 14 ST,3142,40.73395766450562,-73.98065960717473
348,3 AV/E 79 ST,3136,40.77423263616072,-73.95745201753827
349,39 ST/13 AV,3134,40.640797411295466,-73.98629725143587
350,E 86 ST/1 AV,3108,40.77640827429108,-73.94852099897898
351,SOUTHERN BLVD/E 183 ST,3087,40.84824480369291,-73.8836825484289
352,EAST TREMONT AV/SOUTHERN BLVD,3071,40.84187757342885,-73.88411404884403
353,BAYCHESTER AV/750 BAYCHESTER AV,3059,40.8741868218372,-73.83416633899967
354,FLATBUSH AV/PARKSIDE AV,3059,40.65337967505721,-73.95872007159203
355,AMSTERDAM AV/W 170 ST,3025,40.811542680661155,-73.94716958743803
356,NOSTRAND AV/KINGS HWY,3024,40.61603176521164,-73.94586431415344
357,HILLSIDE AV/180 ST,3009,40.71361707610502,-73.77964315653041
